Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Hub_Unit - Copy\Project Outputs for Hub_Unit - Copy\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       17/07/26
Time:       19:18
Revision:   5f568d9ca834efd53c52430f7f797842f6a72318
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"+5","1","BottomLayer","ANT","5.8420mm","39.2430mm","270",""
"GND","1","BottomLayer","ANT","5.9690mm","45.0850mm","270",""
"R5","47","BottomLayer","RESC1608X55N","94.9960mm","21.0820mm","90","Resistor"
"C47","22uf","BottomLayer","CAPC1608X95N","35.3060mm","65.4050mm","180","Capacitor"
"C46","22uf","BottomLayer","CAPC1608X95N","35.4330mm","67.3100mm","180","Capacitor"
"L3","DR74-4R7-R","BottomLayer","COBU-DR74-4R7-R_V","28.8290mm","64.6430mm","270","High Power Density, High Efficiency, Shielded Inductor, 4.7 uH, -40 to 125 degC, RoHS, Tape and Reel"
"R19","4k7","BottomLayer","RESC1608X55N","60.3250mm","56.3880mm","180","Resistor"
"P3","691701510004B","BottomLayer","691701510004B","61.2140mm","64.6430mm","180","Terminal Block, 5.08MM, Close Vertical Pcb Header, Thr Type, 4 Pins"
"R26","10k","BottomLayer","RESC1608X55N","48.8950mm","39.8780mm","180","Resistor"
"C55","4.7uf","BottomLayer","CAPC1608X95N","30.2810mm","42.9260mm","180","Capacitor"
"U1","MCP2221A-I/SL","BottomLayer","FP-C04-065-SL-MFG","24.7650mm","21.0820mm","180","IC USB TO I2C/UART 14SOIC"
"R25","1M","BottomLayer","RESC1608X55N","109.2200mm","25.4000mm","0","Resistor"
"R24","10K","BottomLayer","RESC1608X55N","31.2420mm","19.5580mm","180","Resistor"
"R23","5.1 kO, 1%","BottomLayer","RESC1608X55N","10.0330mm","26.7970mm","180","Resistor"
"R22","5.1 kO, 1%","BottomLayer","RESC1608X55N","2.6670mm","22.2250mm","90","Resistor"
"R18","4k7","TopLayer","RESC1608X55N","79.5020mm","39.7510mm","270","Resistor"
"R17","4k7","TopLayer","RESC1608X55N","81.6610mm","39.7510mm","270","Resistor"
"LED2","KPTL-3216SURCK-01-VS","BottomLayer","KPTL3216SURCK01VS","66.0400mm","56.7690mm","0","LED"
"C62","100nf","BottomLayer","CAPC1608X95N","31.4960mm","23.4950mm","180","Capacitor"
"C61","330nf","BottomLayer","CAPC1608X95N","19.4310mm","20.7010mm","270","Capacitor"
"C60","100nf","BottomLayer","CAPC1608X95N","31.3690mm","21.4630mm","180","Capacitor"
"B1","USBLC6-2SC6","BottomLayer","SOT95P280X145-6N","10.5410mm","23.7490mm","0","TVS Diode Array Uni-Directional USBLC6-2SC6 17V, SOT-23 6-Pin"
"J4","USB4085-GF-A_REVA4","TopLayer","GCT_USB4085-GF-A_REVA4","3.7040mm","24.2570mm","270","USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Through Hole, Right Angle, low cost, 3.46mm profile, 16 pin, horizontal, Top mount"
"R14","10k","BottomLayer","RESC1608X55N","112.8375mm","18.4150mm","90","Resistor"
"C38","4.7uf","BottomLayer","CAPC1608X95N","33.7820mm","54.6100mm","0","WALSIN - 0603X105K250CT - SMD Multilayer Ceramic Capacitor, 1 F, 25 V, 0603 [1608 Metric], +/- 10%, X5R"
"P2","TSW-105-05-G-D","TopLayer","SMTC-TSW-105-05-X-D","122.1410mm","64.1020mm","90","0.025" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 10-Pin, Male, RoHS"
"C59","100nf","BottomLayer","FP-VJ0603X-MFG","116.4590mm","63.2460mm","90","CAP CER 0.1UF 50V X7R 0603"
"C56","100nf","BottomLayer","CAPC1608X95N","85.5980mm","49.4030mm","0","Capacitor"
"J15","FH12-10S-0.5SH_55_","TopLayer","FH1210S05SH55","92.0000mm","40.4890mm","0","Connector"
"D2","SS16-E3_61T","BottomLayer","DIOM5127X229N","46.4490mm","59.1490mm","90","Diode"
"R16","100k","BottomLayer","RESC1608X50N","20.7010mm","56.3880mm","180","100 kOhms +/-1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Anti-Sulfur, Automotive AEC-Q200 Thick Film"
"C54","100nf","BottomLayer","CAPC1608X95N","23.3680mm","52.3790mm","90","Capacitor"
"C53","10UF","BottomLayer","CAPC1608X90N","13.3350mm","65.1510mm","270","10F +/-10% 10V Ceramic Capacitor X5R 0603 (1608 Metric)"
"C48","100nf","BottomLayer","CAPC1608X95N","15.2400mm","65.1510mm","270","Capacitor"
"D1","SMBJ5.0A","BottomLayer","SMBJ12A","17.1450mm","37.5920mm","0","TVS Diode (Uni-directional)"
"C58","100nf","BottomLayer","CAPC1608X95N","75.1840mm","11.5000mm","180","Capacitor"
"C52","100nf","BottomLayer","CAPC1608X95N","70.4850mm","11.5000mm","180","Capacitor"
"C51","100nf","BottomLayer","CAPC1608X95N","64.8970mm","11.4300mm","180","Capacitor"
"C50","100nf","BottomLayer","CAPC1608X95N","60.4520mm","11.5000mm","180","Capacitor"
"C49","100nf","BottomLayer","CAPC1608X95N","54.7040mm","20.5410mm","90","Capacitor"
"J3","FTSH-107-01-L-DV-K-A","TopLayer","FTSH-107-XX-YYY-DV-K-A","125.1860mm","51.4020mm","90","Connector"
"C57","100nf","BottomLayer","CAPC1608X95N","8.4760mm","64.1020mm","0","Capacitor"
"P1","ESP-01","TopLayer","SMTC-MTSW-104-12-X-D-006","6.3170mm","60.2920mm","0","Modified .025" SQ Post Header, Through-hole, Vertical, -55 to 105 degC, 2.54 mm Pitch, 8-Pin, Male, RoHS"
"VR1","PT10MV11-104A2020-S","TopLayer","PT10MV11104A2020S","124.8080mm","34.0830mm","0","Variable Resistor"
"R21","10K","BottomLayer","RESC1608X50N","77.9780mm","51.0540mm","90","100 kOhms +/-1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Anti-Sulfur, Automotive AEC-Q200 Thick Film"
"R20","100 OHM","BottomLayer","RESC1608X55N","72.8980mm","51.9430mm","0","Res Thin Film 0603 100 Ohm 1% 0.1W(1/10W) +/-50ppm/C Sulfur Resistant Pad SMD Automotive Medical T/R"
